,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15200,646872164378430290,Huge Master Bedroom suite. TV- Mini fridge,386323625.0,1.4697948992606595e+18,Mike,City of Los Angeles,West Hills,34.21489,-118.64812,Private room,61.0,30.0,2,2022-11-12,0.04,3.0,347,0,HSR22-001572
15400,654411134293360370,Fabulous NoHo Retreat,163476998.0,1.46859075706248e+18,Roni Rok,City of Los Angeles,Valley Village,34.15735,-118.38347,Entire home/apt,138.0,30.0,16,2025-03-31,0.35,8.0,364,0,HSR22-002328
15600,680301812424175952,Level South Olive - Beautiful One Bedroom Suite,30850484.0,1.4654543729305587e+18,Level Hotels,City of Los Angeles,Downtown,34.0438745,-118.2578334,Entire home/apt,215.0,30.0,4,2025-11-06,0.1,154.0,365,1,
15800,687850970434539814,2 Private rooms in Lynwood,473697551.0,1.463786808715235e+18,Leopoldo,Other Cities,Lynwood,33.93367,-118.19852,Private room,286.0,2.0,84,2026-05-21,1.81,1.0,225,21,
16000,694580644173386630,Charming Studio Vacation Home,6080611.0,1.462697412253986e+18,Krista,City of Los Angeles,Exposition Park,34.01857,-118.31569,Entire home/apt,,30.0,9,2026-04-30,0.21,1.0,21,1,Exempt - This listing is a transient occupancy residential structure
16200,698097753730921190,方便易居驿站03,444692513.0,1.4637180336069092e+18,Hannah,Other Cities,Pomona,34.0479,-117.76963,Private room,55.0,2.0,73,2026-06-02,1.59,3.0,266,29,
16400,716668081499806569,Lovely 2BR 1BA near LA Convention Center And USC,179838046.0,1.4687364993644132e+18,Javier A,City of Los Angeles,Pico-Union,34.04345,-118.27883,Entire home/apt,112.0,31.0,7,2026-01-12,0.17,2.0,350,1,
16600,749933226613305882,Stylish+Spacious Studio in the Heart of the Valley,485798642.0,1.4701868970343777e+18,Ruth,City of Los Angeles,Granada Hills,34.2614,-118.48545,Entire home/apt,,30.0,44,2023-11-02,1.02,1.0,0,0,HSR22-003294
16800,739260268605355403,"Stunning 1 Bedroom Loft HotTub, Pool, Gym, Parking",5675996.0,1.462686607846769e+18,Bj,City of Los Angeles,Studio City,34.1408708,-118.3682041,Entire home/apt,175.0,30.0,4,2025-02-22,0.12,1.0,185,0,HSR22-003619
17000,740179996505781559,"Golden Cove (Rancho Palos 
Verdes) View Home",10492952.0,1.4628420741282934e+18,Aric,Other Cities,Rancho Palos Verdes,33.74992277375894,-118.40727031230924,Entire home/apt,357.0,30.0,6,2026-05-04,0.15,1.0,302,2,
17200,769237472922294143,"Venice CA ""The Steel Rose"" Flat",182280566.0,1.4687588378908787e+18,Monika,City of Los Angeles,Venice,33.99811,-118.47424,Entire home/apt,911.0,2.0,35,2026-06-08,0.84,4.0,337,14,HSR25-002257
17400,783298137009435772,Stunning Lux 2BD High Rise w/ city views of DTLA,489265660.0,1.4702021668889925e+18,Holly,Other Cities,Vernon,33.99899,-118.23535,Entire home/apt,377.0,2.0,154,2026-05-25,3.64,1.0,66,49,
